text,label,language
avere la faccia come il culo,insult,it
sfacim e merde,insult,it
maiala,insult,it
porca miseria,insult,it
cagacazzo,insult,it
segaiolo,insult,it
cornuti,insult,it
pompinaro,insult,it
zoccola,insult,it
rotto nel culo,insult,it
minchie,insult,it
culi,insult,it
incazzarsi,insult,it
fottere,insult,it
fongoul,insult,it
sfiga,insult,it
cazzeggiare,insult,it
dio cangurello,insult,it
vai a vendere il culo,insult,it
che cazzo,insult,it
mangia merde e morte,insult,it
mimbominkia,insult,it
accidenti!,insult,it
scopare,insult,it
"vai a farti fottere, puttana!",insult,it
ti ammazzo,insult,it
cagata,insult,it
ricchione,insult,it
bastardo,insult,it
seghe,insult,it
puttana,insult,it
vai a dar via il culo,insult,it
cazzo Madre di dio,insult,it
pompino,insult,it
sborra,insult,it
tu piezza di merda!,insult,it
figlio un cane,insult,it
gran’ disgraziato,insult,it
andare a puttane:,insult,it
puttaniere,insult,it
mafankulo,insult,it
porca troia,insult,it
cazzi,insult,it
porca eva,insult,it
che te pozzino ammazza!,insult,it
sbora,insult,it
testa di cazzo,insult,it
cretino,insult,it
che palle,insult,it
bastardi,insult,it
rottinculo,insult,it
dio santo!,insult,it
segone,insult,it
sega,insult,it
sborrare,insult,it
cazzo,insult,it
gnocche,insult,it
mannaggia tua,insult,it
nessuno mi unfungulo,insult,it
cazzo di merda,insult,it
Testa di minchia,insult,it
fiche,insult,it
tu ma’ piscia in piedi,insult,it
brutto figlio di puttana bastardo,insult,it
froci,insult,it
puttane,insult,it
concha,insult,es
carajo,insult,es
chilito,insult,es
joderse,insult,es
costar un huevo,insult,es
maldición,insult,es
mostacero,insult,es
tu madre es una estupida,insult,es
pichacorta,insult,es
we,insult,es
pinche puta,insult,es
mamon,insult,es
huey,insult,es
"chinga tu madre, cabron",insult,es
cojón,insult,es
remojar el cochayuyo,insult,es
chichi,insult,es
wea,insult,es
soplapollas,insult,es
sucia,insult,es
hueva,insult,es
pargo,insult,es
te cogieron de pendejo,insult,es
rabo,insult,es
me cago en el coño de tu madre,insult,es
maricon,insult,es
hasta la madre,insult,es
pinche idiota,insult,es
putain,insult,es
joto,insult,es
la cagada,insult,es
te voy a romper la cara a trompadas,insult,es
cabrón,insult,es
chingate,insult,es
coño ,insult,es
yo mataria tu,insult,es
maraca,insult,es
peras,insult,es
"no huyas, pendejo",insult,es
tocarse las peras,insult,es
pete,insult,es
tarado,insult,es
cara de monda,insult,es
comerán mierda,insult,es
maraco,insult,es
plumífero,insult,es
mamaverga,insult,es
cola,insult,es
que te den por culo,insult,es
invertido,insult,es
una pendejada,insult,es
mariquita,insult,es
maricona,insult,es
agilipollado,insult,es
pirobo,insult,es
playo,insult,es
parcha,insult,es
joder,insult,es
tontopollas,insult,es
jode a tu madre,insult,es
cojeme,insult,es
pinche,insult,es
deje de ser tan pendejo,insult,es
la he jodido,insult,es
chingóna,insult,es
trompada,insult,es
salchicha,insult,es
las tetas,insult,es
chuchamadre,insult,es
choto,insult,es
cucaracha,insult,es
maldito,insult,es
homo,insult,es
negraco,insult,es
tortillera,insult,es
caray,insult,es
ojete,insult,es
puta,insult,es
pute,insult,es
chupamedias,insult,es
chinga tu hermana,insult,es
comemierda,insult,es
plon,insult,es
julandrón,insult,es
me importa tres cojones,insult,es
tengo ganas,insult,es
trolo,insult,es
julai,insult,es
vete a la chingada,insult,es
putta,insult,es
panoche,insult,es
vete al infierno,insult,es
hora,insult,es
cojon,insult,es
cara de panocha,insult,es
sarasa,insult,es
chotera,insult,es
eres una marica,insult,es
vete a la mierda,insult,es
wa,insult,es
cojonazos,insult,es
valió madre,insult,es
chorra,insult,es
mamapinga,insult,es
bolas,insult,es
mojon,insult,es
mamagüevos,insult,es
fundío,insult,es
nabo,insult,es
guarra,insult,es
chingado,insult,es
come mierda,insult,es
tocar los cojones,insult,es
me cago en la virgen,insult,es
mamona,insult,es
cabron,insult,es
mamavergas,insult,es
tonta,insult,es
cueco,insult,es
jodido,insult,es
conchatumadre,insult,es
se la metio,insult,es
le quedo una chimba,insult,es
gilipollas,insult,es
pelos de los huevos,insult,es
mal bicho,insult,es
metete un palo por el culo,insult,es
me cago en la leche,insult,es
verga dura,insult,es
me importa un huevo,insult,es
huevada,insult,es
cipote,insult,es
chupame la polla,insult,es
hijo de la chingada,insult,es
comecaca,insult,es
besame el culo,insult,es
zunga,insult,es
estás puto,insult,es
hijo de mil putas,insult,es
cara de pito,insult,es
bombero,insult,es
chotaco,insult,es
desviado,insult,es
cagaste y saltaste en la caca,insult,es
tu madre es una puta,insult,es
métetelo por el culo,insult,es
rosquete,insult,es
caracho,insult,es
negrata,insult,es
me encanta tu culo,insult,es
garchar,insult,es
madrear,insult,es
tirate a un poso,insult,es
una pendeja,insult,es
me cago,insult,es
de cojones,insult,es
puto,insult,es
pinga,insult,es
trucha,insult,es
calientapollas,insult,es
jupa de pollo,insult,es
mondá,insult,es
basura,insult,es
fundillo,insult,es
valió verga,insult,es
cundango,insult,es
wey,insult,es
gonorrea,insult,es
pedazo,insult,es
madrazo,insult,es
banana,insult,es
porongo,insult,es
me importa un cojón,insult,es
macha,insult,es
no me jodas,insult,es
manflor,insult,es
trabuco,insult,es
por huevos,insult,es
comilón,insult,es
zorra,insult,es
todo el jupa de poll,insult,es
triple-hijueputa,insult,es
tocarse los cojones,insult,es
poronga,insult,es
cocoon,insult,es
tocarse los huevos,insult,es
verga muy grande,insult,es
raro,insult,es
chingón,insult,es
no joda,insult,es
follar,insult,es
soplanucas,insult,es
negrito,insult,es
puttus,insult,es
verga,insult,es
chingar,insult,es
fran,insult,es
gilipolla,insult,es
caquita de la vaquita,insult,es
me cago en ti,insult,es
kieta el stupido elephante,insult,es
knave,insult,es
güey,insult,es
bete a la verga,insult,es
orto,insult,es
payaso,insult,es
cabro,insult,es
loco,insult,es
capullo,insult,es
mariconzón,insult,es
mierda de toro,insult,es
chula,insult,es
echar madrazos,insult,es
tocarse las pelotas,insult,es
tragasables,insult,es
afeminado,insult,es
mierda,insult,es
loca,insult,es
hijueputa,insult,es
pinnus,insult,es
tonto,insult,es
collons,insult,es
buey,insult,es
culear,insult,es
qué chingados es eso,insult,es
puñal,insult,es
conchetumadre,insult,es
ahueonao,insult,es
garcha,insult,es
pelotudo,insult,es
miércoles,insult,es
le metio la verga,insult,es
jode tu madre ayer noche,insult,es
cacorro,insult,es
percanta,insult,es
ahuevoneado,insult,es
chinga tu madre,insult,es
perra,insult,es
chorizo,insult,es
palanca de cambios,insult,es
caca,insult,es
culero,insult,es
joystick,insult,es
pájaro,insult,es
hueco,insult,es
tu eres más feo que el culo de un mono,insult,es
yo cago en la leche de tu puta madre,insult,es
estás cabrón,insult,es
atontado,insult,es
chingada,insult,es
chingona,insult,es
"uy, que care-chimba",insult,es
chulo,insult,es
bolson,insult,es
chingada madre,insult,es
mamagüevo,insult,es
tu madre es una puta fea,insult,es
tragaleche,insult,es
vaina,insult,es
gilipollez,insult,es
coger,insult,es
chota,insult,es
muerdealmohadas,insult,es
cara de mi huevo izquierdo,insult,es
puttana,insult,es
cockroach,insult,es
chivo,insult,es
andate a la chucha,insult,es
culito,insult,es
tocar los huevos,insult,es
"qué maricón de mierda, eh?",insult,es
poto,insult,es
polla,insult,es
bujarra,insult,es
bugarrón,insult,es
bombilla de cuero,insult,es
maricueca,insult,es
tu madre es muy gato y feo,insult,es
me cago en la hostia,insult,es
soy la verga andando,insult,es
"mano, eres tremendamente maricón",insult,es
puta barrata,insult,es
el orto,insult,es
"chinga tu madre, cabrón",insult,es
puta madre,insult,es
boludo,insult,es
so',insult,es
está muy pinche,insult,es
coño,insult,es
huevos,insult,es
te voy a meter la verga,insult,es
mira qué cabrón,insult,es
desgraciado,insult,es
colizón,insult,es
marimacha,insult,es
carajito,insult,es
bambaro,insult,es
roscón,insult,es
mierda de toros,insult,es
cochón,insult,es
plumón,insult,es
culiao,insult,es
manflora,insult,es
chichis,insult,es
hueles a mierda,insult,es
vete al carajo,insult,es
raghead,insult,es
camel jockey,insult,es
chingon,insult,es
chotar,insult,es
pendo,insult,es
chocha,insult,es
ahuevado,insult,es
estúpido,insult,es
bujarrón,insult,es
pendejo,insult,es
bufarrón,insult,es
me cago en tu puta madre,insult,es
parchita,insult,es
culo,insult,es
bicho,insult,es
yo soy cabrón,insult,es
pinche güey,insult,es
panocha,insult,es
maricón,insult,es
marica,insult,es
perro,insult,es
bombilla,insult,es
culo peludo,insult,es
que te jodan,insult,es
chapero,insult,es
huevon,insult,es
madre,insult,es
jack,insult,es
calójili,insult,es
chingados,insult,es
tu hermano no tiene la ingle,insult,es
me cago en dios,insult,es
cojete mi suegra,insult,es
tocar los pelotas,insult,es
burro,insult,es
albondigas,insult,es
el ojete,insult,es
mayate,insult,es
pulla,insult,es
hijo de puta,insult,es
bastardo,insult,es
"vení, oleme la chucha",insult,es
cuca,insult,es
cagar,insult,es
partido,insult,es
chocho,insult,es
mariposa,insult,es
fleto,insult,es
fresa,insult,es
putus,insult,es
pija,insult,es
rarito,insult,es
imbécil,insult,es
pelotas,insult,es
chucha,insult,es
cojones,insult,es
homogay,insult,es
que comemierderia,insult,es
chucha de tu madre,insult,es
way,insult,es
chupamela,insult,es
mamagüevazo,insult,es
tienes ganas,insult,es
idiota,insult,es
hıyar,insult,tr
siktir orospu çocuğu,insult,tr
taşak,insult,tr
aptal,insult,tr
abaza,insult,tr
kaşar,insult,tr
onbeş,insult,tr
denyo,insult,tr
götüne koyarım,insult,tr
götünü sikerim,insult,tr
31 çekelim,insult,tr
lavuk,insult,tr
amına koyarım,insult,tr
sıçtık,insult,tr
ezik,insult,tr
götten bacaklı,insult,tr
sikindirik,insult,tr
yavşak,insult,tr
hiçbir lanet yolu,insult,tr
şapka,insult,tr
amına koğumun piçi,insult,tr
sıçarım babanın şarap çanağına,insult,tr
ecdadını sikeyim,insult,tr
film,insult,tr
sikim sokum,insult,tr
sikimtronik,insult,tr
sikitr,insult,tr
orospu,insult,tr
yarrak,insult,tr
abazan,insult,tr
siktir,insult,tr
manda,insult,tr
götveren,insult,tr
pislik,insult,tr
şıllık,insult,tr
frikik,insult,tr
siçan,insult,tr
sıçarım gözlük camına dünyayı bombok görürsün,insult,tr
zibidi,insult,tr
eline vermek,insult,tr
feriştahını sikeyim,insult,tr
puşt,insult,tr
siktir git,insult,tr
götüne koyayım,insult,tr
hasiktir,insult,tr
sığır,insult,tr
hayvan,insult,tr
kaltak,insult,tr
yarrak kafa,insult,tr
salak,insult,tr
tek kürek yalova yapmak,insult,tr
amsalak,insult,tr
götünden kan alırım,insult,tr
ver,insult,tr
sikik,insult,tr
yelloz,insult,tr
sikmek,insult,tr
sıçışlardayız,insult,tr
orospu çocuğu,insult,tr
ejderha,insult,tr
amına koyayım,insult,tr
am budalası,insult,tr
ciğerini sikeyim,insult,tr
bok ye,insult,tr
amcık ağızlı,insult,tr
motor,insult,tr
kavat,insult,tr
amını sikerim,insult,tr
beş,insult,tr
kicimi op,insult,tr
böluk,insult,tr
amcık hoşafı,insult,tr
köylü,insult,tr
nataşa,insult,tr
ağzına sıçarım,insult,tr
embesil,insult,tr
ısır beni,insult,tr
kıç,insult,tr
kevaşe,insult,tr
sikimsonik,insult,tr
canın cehenneme,insult,tr
açık kapı,insult,tr
yarrağımın antifrizi,insult,tr
mal,insult,tr
yarrağımı,insult,tr
yosma,insult,tr
göte geldin,insult,tr
sikimtırak,insult,tr
dalga,insult,tr
yarrağımı ye,insult,tr
amcik,insult,tr
aşüfte,insult,tr
ananı avradını sikeyim,insult,tr
yarrağımın kurma kolu,insult,tr
bok,insult,tr
ciğersiz pezevenk,insult,tr
dümbük,insult,tr
pezevenk,insult,tr
eşekoğlueşek,insult,tr
seni sikerim,insult,tr
apaçi,insult,tr
siktirici,insult,tr
hödük,insult,tr
at hırsızı,insult,tr
amını sikeyim,insult,tr
götübozuk,insult,tr
götünü sikeyim,insult,tr
yarrak ağızlı,insult,tr
anasını avradını siktiğimin orospu çocuğu,insult,tr
amına koyim,insult,tr
ibne,insult,tr
yedi ceddini siktiğimin oğlu,insult,tr
gerzek,insult,tr
sülaleni sikeyim,insult,tr
göt siken,insult,tr
sik,insult,tr
zübük,insult,tr
top,insult,tr
ağzına sıçayım,insult,tr
hırt,insult,tr
piç,insult,tr
çekirge götü,insult,tr
yarak,insult,tr
amına koyduğumun çocuğu,insult,tr
yarak kürek,insult,tr
ananı sikerim,insult,tr
amcık,insult,tr
fallik,insult,tr
sürtük,insult,tr
fahişe,insult,tr
dalyarak,insult,tr
aşk meleği,insult,tr
yarrağı yedin,insult,tr
yordamını sikeyim,insult,tr
dalağını sikerim,insult,tr
göt lalesi,insult,tr
sik kafalı,insult,tr
budala,insult,tr
ananı bacını sikeyim,insult,tr
siki tuttun,insult,tr
göt,insult,tr
göt veren,insult,tr
deyyus,insult,tr
yarrağı,insult,tr
gerizekalı,insult,tr
dürzü,insult,tr
sikimde değil,insult,tr
allah kahretsin,insult,tr
amına kodumun piçi,insult,tr
sırık,insult,tr
öküz,insult,tr
milli olmak,insult,tr
sikko,insult,tr
dangalak,insult,tr
eşek,insult,tr
ebesini siktiğimin göt lalesi,insult,tr
sıçarım böyle işe,insult,tr
ağzını yüzünü siktiğimin pezevengi,insult,tr
gelmişini geçmişini sikeyim,insult,tr
amını götünden sikerim,insult,tr
connard,insult,fr
je m’en fou,insult,fr
je m’en fous,insult,fr
t’as intérêt ne pas m’énervé,insult,fr
je m’en fiche,insult,fr
emmerdeur,insult,fr
mange de la merde,insult,fr
je veux faire l’amour avec toi,insult,fr
papier q,insult,fr
ça me fait chier,insult,fr
ducon,insult,fr
t’es rien qu’un petit connard,insult,fr
putain de merde,insult,fr
s’en foutre,insult,fr
va te faire enculer,insult,fr
tu es con,insult,fr
je me fais chier,insult,fr
"meurs, pute",insult,fr
batard,insult,fr
pétasse,insult,fr
dégage,insult,fr
tu fais chier,insult,fr
enfoiré,insult,fr
ma couille,insult,fr
chiante,insult,fr
nom de dieu,insult,fr
ta race,insult,fr
mes couilles en toi,insult,fr
une casse-couille,insult,fr
rien à branler,insult,fr
ça fait shier,insult,fr
pq,insult,fr
chatte,insult,fr
baise moi mor,insult,fr
couille,insult,fr
c’est pas con,insult,fr
crève la gueule ouverte,insult,fr
j’ai baisé ta mère,insult,fr
sale,insult,fr
branleur,insult,fr
couillon,insult,fr
bachie coupe,insult,fr
baise,insult,fr
enfoirée,insult,fr
va te faire foutre,insult,fr
allez,insult,fr
je t’emmerde,insult,fr
enculée,insult,fr
"oh, merde",insult,fr
c’est vraiment de ta faute,insult,fr
ça craint,insult,fr
dégueu,insult,fr
s’en branler,insult,fr
cul,insult,fr
va t’en,insult,fr
couilles,insult,fr
casse-toi,insult,fr
niquer,insult,fr
pédé,insult,fr
idiote,insult,fr
putain,insult,fr
j’ai envie de chier,insult,fr
t’es un salaud,insult,fr
foutre le bordel,insult,fr
vous sentez comme le boeuf et le fromage,insult,fr
gross cul,insult,fr
chiant,insult,fr
quel salaud,insult,fr
je me suis fait baiser,insult,fr
imbécile,insult,fr
film de cul,insult,fr
s’en foutre de,insult,fr
crève la gueule ouverte!,insult,fr
fais chier,insult,fr
rien à foutre,insult,fr
sac vin,insult,fr
petit tabernac,insult,fr
tu me gonfles,insult,fr
pédale,insult,fr
avale mes couilles,insult,fr
un casse-couille,insult,fr
con,insult,fr
c’est con,insult,fr
du pq,insult,fr
face de cul,insult,fr
branleur de chiens morts,insult,fr
ta mere suce des bites en enfer,insult,fr
merdasse,insult,fr
se taire,insult,fr
salope,insult,fr
vas faire foutre a la vache,insult,fr
emmerdeuse,insult,fr
prendre pour une conne,insult,fr
sac merde,insult,fr
c’est quoi ce bordel,insult,fr
à  chier,insult,fr
enculer les mouches,insult,fr
rien à foutre de,insult,fr
trou du cul,insult,fr
salaud,insult,fr
bite,insult,fr
merde embulante,insult,fr
ta gueule,insult,fr
ça pue,insult,fr
j’en ai ral le bol,insult,fr
t’as pas de couilles,insult,fr
mange ma bite,insult,fr
sa race,insult,fr
ta mere la pute,insult,fr
tu commence m’enmerder,insult,fr
idiot,insult,fr
petite pute,insult,fr
tu et un ane,insult,fr
frambler,insult,fr
 je me fais chier,insult,fr
emmerder,insult,fr
vous vissez,insult,fr
bordel,insult,fr
oh putain de merde,insult,fr
se foutre dans la merde,insult,fr
connasse,insult,fr
note from benjamin,insult,fr
conneries,insult,fr
foutre,insult,fr
laisse-moi tranquille,insult,fr
baiser,insult,fr
je te nique ta race sale fils de chien,insult,fr
putain de,insult,fr
branler,insult,fr
aller se faire foutre,insult,fr
foutre la merde,insult,fr
j’en ai plus rien à foutre,insult,fr
je m’en bats les couilles,insult,fr
ce mécanicien m’a bien baisé,insult,fr
garce,insult,fr
casser les couilles,insult,fr
zut,insult,fr
dégénéré,insult,fr
bordel de merde,insult,fr
enculer une mouche,insult,fr
brûle en enfer,insult,fr
de merde,insult,fr
abruti,insult,fr
ça schlingue,insult,fr
couillonne,insult,fr
vous êtes stupide,insult,fr
dégueulasse,insult,fr
framble,insult,fr
tais-toi,insult,fr
trouduc,insult,fr
nique ta mère,insult,fr
ferme ta gueule,insult,fr
conne,insult,fr
enculé,insult,fr
partir en couille,insult,fr
crétin,insult,fr
chier,insult,fr
baise toi,insult,fr
pute,insult,fr
j’en ai ral le cul,insult,fr
merde,insult,fr
putain t’es moche,insult,fr
connerie,insult,fr
prendre pour un con,insult,fr
debile,insult,fr
ne rien foutre,insult,fr
t’es débile,insult,fr
rien à branler ,insult,fr
la vache,insult,fr
je pis dans ta bouche,insult,fr
qu’est-ce que tu branles,insult,fr
putain de bordel de merde,insult,fr
se casser,insult,fr
je m’en fous pas mal,insult,fr
fils de pute,insult,fr
faire chier,insult,fr
enculer,insult,fr
il est stupide,insult,fr
branler – to jerk off,insult,fr
j’en ai marre,insult,fr
filho da puta,insult,pt
pisso,insult,pt
puta que pariu,insult,pt
cabra,insult,pt
escroto,insult,pt
saco de merda,insult,pt
cracudo,insult,pt
foder,insult,pt
vai se foder,insult,pt
vagabundo,insult,pt
porra,insult,pt
pra caralho,insult,pt
broche,insult,pt
pixota,insult,pt
chupa meu pau,insult,pt
pau,insult,pt
galinha,insult,pt
cacete,insult,pt
bicha,insult,pt
arrombado,insult,pt
pica,insult,pt
rego do cu,insult,pt
piça,insult,pt
corno,insult,pt
negão,insult,pt
merda,insult,pt
xoxota,insult,pt
boquete,insult,pt
olho do cu,insult,pt
chupa-mos,insult,pt
peido,insult,pt
mijar,insult,pt
sapatão,insult,pt
mouro,insult,pt
siririca,insult,pt
foda,insult,pt
cu,insult,pt
foda-se,insult,pt
vai apanhar no cu,insult,pt
fodido,insult,pt
vai pro caralho,insult,pt
teu cu,insult,pt
minete,insult,pt
babaca,insult,pt
mamada,insult,pt
cona,insult,pt
paneleiro,insult,pt
cachorro,insult,pt
pachacha,insult,pt
trepar,insult,pt
piroca,insult,pt
enrabar,insult,pt
do caralho,insult,pt
negro,insult,pt
cachorra,insult,pt
bobo,insult,pt
puta merda,insult,pt
fode-te,insult,pt
piranha,insult,pt
caralho,insult,pt
escrota,insult,pt
punheta,insult,pt
vai tomar no cu,insult,pt
cabrão,insult,pt
viado,insult,pt
rata,insult,pt
que porra é essa,insult,pt
canalha,insult,pt
cagar,insult,pt
preto,insult,pt
encher o saco,insult,pt
pito,insult,pt
badalhoca,insult,pt
trouxa,insult,pt
sacanagem,insult,pt
puta,insult,pt
"vai para o caralho, vai-te foder",insult,pt
monte de merda,insult,pt
boiola,insult,pt
vai mamar na quinta pata do cavalo,insult,pt
brocha,insult,pt
moor,insult,pt
caceta,insult,pt
buceta,insult,pt
pila,insult,pt
porra nenhuma,insult,pt
badalhoco,insult,pt
vaca,insult,pt
nem fodendo,insult,pt
блядина,insult,ru
закрой рот,insult,ru
чушка,insult,ru
куни,insult,ru
жидоёбское,insult,ru
тварь,insult,ru
мымра,insult,ru
пасть забей,insult,ru
еврей,insult,ru
падла ебаная,insult,ru
выблядок,insult,ru
алкоголик,insult,ru
гандон штопаный,insult,ru
зануда,insult,ru
пендосия,insult,ru
сука,insult,ru
пидор,insult,ru
страхоёбище,insult,ru
срака,insult,ru
бомж,insult,ru
радужный мальчик,insult,ru
стоячек,insult,ru
взбляд,insult,ru
а хули,insult,ru
святоша,insult,ru
ёбаный стос,insult,ru
алень,insult,ru
пиздоблошка,insult,ru
хуедин,insult,ru
нихуя,insult,ru
голуби,insult,ru
пришью,insult,ru
гнойный,insult,ru
блядский,insult,ru
наебнуться,insult,ru
мухосоранск,insult,ru
елдак,insult,ru
наеб,insult,ru
хуеман,insult,ru
хуйня,insult,ru
доебались,insult,ru
выебон,insult,ru
хуле,insult,ru
змея,insult,ru
волосня,insult,ru
чучмен,insult,ru
на хуя,insult,ru
обламаться,insult,ru
мерхавеч,insult,ru
барыга,insult,ru
дерьмоед,insult,ru
ебанулось,insult,ru
дупло,insult,ru
присунуть,insult,ru
ахуел,insult,ru
блядское,insult,ru
настреляли по пиздюлятору,insult,ru
ебанько,insult,ru
манья,insult,ru
спиздить,insult,ru
ебанула,insult,ru
выблядовал,insult,ru
скотоёб,insult,ru
обосцать,insult,ru
однохуйственно,insult,ru
менты,insult,ru
наебнулась,insult,ru
ёбнул,insult,ru
стоячок,insult,ru
блядская,insult,ru
распиздошила,insult,ru
блядство,insult,ru
шоха,insult,ru
жидоёбский,insult,ru
дерьмохеропиздократия,insult,ru
прихуел,insult,ru
деревня,insult,ru
дурак,insult,ru
сволочь,insult,ru
писька,insult,ru
молокосос,insult,ru
злоебучий,insult,ru
опездол,insult,ru
радужный,insult,ru
дрянь,insult,ru
пошел нахуй,insult,ru
еблище,insult,ru
лось,insult,ru
сексист,insult,ru
ебальный станок,insult,ru
свинтус,insult,ru
рак мозга,insult,ru
жидоёбка,insult,ru
дать пизды,insult,ru
многопиздная,insult,ru
трахнуть,insult,ru
пиздовладелец,insult,ru
ебля,insult,ru
иди к черту,insult,ru
нахуй,insult,ru
распиздяй,insult,ru
малолетка,insult,ru
голубятня,insult,ru
змея подколодная,insult,ru
очко,insult,ru
передернуть,insult,ru
блядемудиный пиздопроёб,insult,ru
присунул,insult,ru
казел,insult,ru
импотент,insult,ru
навешать пиздюлей,insult,ru
мне до лампочки,insult,ru
хули,insult,ru
остоебать,insult,ru
сукин сын,insult,ru
пососи мои яйца,insult,ru
писюн,insult,ru
хуй на тебя,insult,ru
хохол,insult,ru
без пизды,insult,ru
мудозвод,insult,ru
как ёб твою мать,insult,ru
член,insult,ru
под юбкой,insult,ru
хуйло,insult,ru
жополиз,insult,ru
подонок,insult,ru
наёб,insult,ru
говно,insult,ru
путана,insult,ru
заебала,insult,ru
допизды,insult,ru
елда,insult,ru
дерево,insult,ru
проститутка,insult,ru
еб тебя,insult,ru
отъебись,insult,ru
гнида,insult,ru
хитровыебанный,insult,ru
козел,insult,ru
залупа,insult,ru
еб,insult,ru
облом,insult,ru
не пудри мозги,insult,ru
вьебал,insult,ru
"вдруг, откуда ни возьмись, появился в рот ебись",insult,ru
изъебнулся,insult,ru
ебни,insult,ru
жопа,insult,ru
руки из жопы,insult,ru
выебнуться,insult,ru
мудила,insult,ru
пиздобратия,insult,ru
гобиться,insult,ru
педик,insult,ru
дура,insult,ru
бадяжить,insult,ru
деревеньщина,insult,ru
наблядовал,insult,ru
голубой,insult,ru
распиздяйка,insult,ru
капрофил,insult,ru
доебалась,insult,ru
ёбкость,insult,ru
страть тебе в рот,insult,ru
опиздоумел,insult,ru
хитровыебанная,insult,ru
говнюк,insult,ru
засранец,insult,ru
дерьмо,insult,ru
осёд,insult,ru
заёб,insult,ru
целкa,insult,ru
еблан,insult,ru
ебанёшься,insult,ru
ебанулся,insult,ru
гей,insult,ru
дерьмохеропиздократ,insult,ru
шлюха,insult,ru
кнь педальный,insult,ru
пиздец,insult,ru
удавись,insult,ru
развалюха,insult,ru
шут,insult,ru
нахуярить,insult,ru
ебашит,insult,ru
прыщавый,insult,ru
крыша поехала,insult,ru
у меня стоит,insult,ru
выёбывается,insult,ru
яйца,insult,ru
слоняра,insult,ru
обламатся,insult,ru
хер,insult,ru
какого черта,insult,ru
феменистка,insult,ru
заебал,insult,ru
ебланка,insult,ru
крыса,insult,ru
 да пошел тыпошел ты,insult,ru
фалос,insult,ru
фапать,insult,ru
черт возми,insult,ru
гнусный,insult,ru
машонка,insult,ru
пидоростия,insult,ru
трахаться,insult,ru
пофапать,insult,ru
ебальник разинул,insult,ru
пиздрик,insult,ru
дуплоящер,insult,ru
вжопу,insult,ru
я тебя в рот ебал,insult,ru
сцать,insult,ru
подъёбки,insult,ru
ебаная сука,insult,ru
объебала,insult,ru
яйчелы,insult,ru
наебали,insult,ru
хуй тебе в жопу,insult,ru
ты дегенерат,insult,ru
объебал,insult,ru
заебёшь мёртвого,insult,ru
косяк,insult,ru
хуелес,insult,ru
баба,insult,ru
кощей,insult,ru
осел,insult,ru
