text,language,label
comerán mierda,es,insult
maraco,es,insult
plumífero,es,insult
mamaverga,es,insult
cola,es,insult
que te den por culo,es,insult
invertido,es,insult
una pendejada,es,insult
mariquita,es,insult
maricona,es,insult
agilipollado,es,insult
pirobo,es,insult
playo,es,insult
parcha,es,insult
joder,es,insult
tontopollas,es,insult
jode a tu madre,es,insult
cojeme,es,insult
pinche,es,insult
deje de ser tan pendejo,es,insult
la he jodido,es,insult
chingóna,es,insult
trompada,es,insult
salchicha,es,insult
las tetas,es,insult
chuchamadre,es,insult
choto,es,insult
cucaracha,es,insult
maldito,es,insult
homo,es,insult
negraco,es,insult
tortillera,es,insult
caray,es,insult
ojete,es,insult
puta,es,insult
pute,es,insult
chupamedias,es,insult
chinga tu hermana,es,insult
comemierda,es,insult
plon,es,insult
julandrón,es,insult
me importa tres cojones,es,insult
tengo ganas,es,insult
trolo,es,insult
julai,es,insult
vete a la chingada,es,insult
putta,es,insult
panoche,es,insult
vete al infierno,es,insult
hora,es,insult
cojon,es,insult
cara de panocha,es,insult
sarasa,es,insult
chotera,es,insult
eres una marica,es,insult
vete a la mierda,es,insult
wa,es,insult
cojonazos,es,insult
valió madre,es,insult
chorra,es,insult
mamapinga,es,insult
bolas,es,insult
mojon,es,insult
mamagüevos,es,insult
fundío,es,insult
nabo,es,insult
guarra,es,insult
chingado,es,insult
come mierda,es,insult
tocar los cojones,es,insult
me cago en la virgen,es,insult
mamona,es,insult
cabron,es,insult
mamavergas,es,insult
tonta,es,insult
cueco,es,insult
jodido,es,insult
conchatumadre,es,insult
se la metio,es,insult
le quedo una chimba,es,insult
gilipollas,es,insult
pelos de los huevos,es,insult
mal bicho,es,insult
metete un palo por el culo,es,insult
me cago en la leche,es,insult
verga dura,es,insult
me importa un huevo,es,insult
huevada,es,insult
cipote,es,insult
chupame la polla,es,insult
hijo de la chingada,es,insult
comecaca,es,insult
besame el culo,es,insult
zunga,es,insult
estás puto,es,insult
hijo de mil putas,es,insult
cara de pito,es,insult
bombero,es,insult
chotaco,es,insult
desviado,es,insult
cagaste y saltaste en la caca,es,insult
tu madre es una puta,es,insult
métetelo por el culo,es,insult
rosquete,es,insult
caracho,es,insult
negrata,es,insult
me encanta tu culo,es,insult
garchar,es,insult
madrear,es,insult
tirate a un poso,es,insult
una pendeja,es,insult
me cago,es,insult
de cojones,es,insult
puto,es,insult
pinga,es,insult
trucha,es,insult
calientapollas,es,insult
jupa de pollo,es,insult
mondá,es,insult
basura,es,insult
fundillo,es,insult
valió verga,es,insult
cundango,es,insult
wey,es,insult
gonorrea,es,insult
pedazo,es,insult
madrazo,es,insult
banana,es,insult
porongo,es,insult
me importa un cojón,es,insult
macha,es,insult
no me jodas,es,insult
manflor,es,insult
trabuco,es,insult
por huevos,es,insult
comilón,es,insult
zorra,es,insult
todo el jupa de poll,es,insult
triple-hijueputa,es,insult
tocarse los cojones,es,insult
poronga,es,insult
cocoon,es,insult
tocarse los huevos,es,insult
verga muy grande,es,insult
raro,es,insult
chingón,es,insult
no joda,es,insult
follar,es,insult
soplanucas,es,insult
negrito,es,insult
puttus,es,insult
verga,es,insult
chingar,es,insult
fran,es,insult
gilipolla,es,insult
caquita de la vaquita,es,insult
me cago en ti,es,insult
kieta el stupido elephante,es,insult
knave,es,insult
güey,es,insult
bete a la verga,es,insult
orto,es,insult
payaso,es,insult
cabro,es,insult
loco,es,insult
capullo,es,insult
mariconzón,es,insult
mierda de toro,es,insult
chula,es,insult
echar madrazos,es,insult
tocarse las pelotas,es,insult
tragasables,es,insult
afeminado,es,insult
mierda,es,insult
loca,es,insult
hijueputa,es,insult
pinnus,es,insult
tonto,es,insult
collons,es,insult
buey,es,insult
culear,es,insult
qué chingados es eso,es,insult
puñal,es,insult
conchetumadre,es,insult
ahueonao,es,insult
garcha,es,insult
pelotudo,es,insult
miércoles,es,insult
le metio la verga,es,insult
jode tu madre ayer noche,es,insult
cacorro,es,insult
percanta,es,insult
ahuevoneado,es,insult
chinga tu madre,es,insult
perra,es,insult
chorizo,es,insult
palanca de cambios,es,insult
caca,es,insult
culero,es,insult
joystick,es,insult
pájaro,es,insult
hueco,es,insult
tu eres más feo que el culo de un mono,es,insult
yo cago en la leche de tu puta madre,es,insult
estás cabrón,es,insult
atontado,es,insult
chingada,es,insult
chingona,es,insult
"uy, que care-chimba",es,insult
chulo,es,insult
bolson,es,insult
chingada madre,es,insult
mamagüevo,es,insult
tu madre es una puta fea,es,insult
tragaleche,es,insult
vaina,es,insult
gilipollez,es,insult
coger,es,insult
chota,es,insult
muerdealmohadas,es,insult
cara de mi huevo izquierdo,es,insult
puttana,es,insult
cockroach,es,insult
chivo,es,insult
andate a la chucha,es,insult
culito,es,insult
tocar los huevos,es,insult
"qué maricón de mierda, eh?",es,insult
poto,es,insult
polla,es,insult
bujarra,es,insult
bugarrón,es,insult
bombilla de cuero,es,insult
maricueca,es,insult
tu madre es muy gato y feo,es,insult
me cago en la hostia,es,insult
soy la verga andando,es,insult
"mano, eres tremendamente maricón",es,insult
puta barrata,es,insult
el orto,es,insult
"chinga tu madre, cabrón",es,insult
puta madre,es,insult
boludo,es,insult
so',es,insult
está muy pinche,es,insult
coño,es,insult
huevos,es,insult
te voy a meter la verga,es,insult
mira qué cabrón,es,insult
desgraciado,es,insult
colizón,es,insult
marimacha,es,insult
carajito,es,insult
bambaro,es,insult
roscón,es,insult
mierda de toros,es,insult
cochón,es,insult
plumón,es,insult
culiao,es,insult
manflora,es,insult
chichis,es,insult
hueles a mierda,es,insult
vete al carajo,es,insult
raghead,es,insult
camel jockey,es,insult
chingon,es,insult
chotar,es,insult
pendo,es,insult
chocha,es,insult
ahuevado,es,insult
estúpido,es,insult
bujarrón,es,insult
pendejo,es,insult
bufarrón,es,insult
me cago en tu puta madre,es,insult
parchita,es,insult
culo,es,insult
bicho,es,insult
yo soy cabrón,es,insult
pinche güey,es,insult
panocha,es,insult
maricón,es,insult
marica,es,insult
perro,es,insult
bombilla,es,insult
culo peludo,es,insult
que te jodan,es,insult
chapero,es,insult
huevon,es,insult
madre,es,insult
jack,es,insult
calójili,es,insult
chingados,es,insult
tu hermano no tiene la ingle,es,insult
me cago en dios,es,insult
cojete mi suegra,es,insult
tocar los pelotas,es,insult
burro,es,insult
albondigas,es,insult
el ojete,es,insult
mayate,es,insult
pulla,es,insult
hijo de puta,es,insult
bastardo,es,insult
"vení, oleme la chucha",es,insult
cuca,es,insult
cagar,es,insult
partido,es,insult
chocho,es,insult
mariposa,es,insult
fleto,es,insult
fresa,es,insult
putus,es,insult
pija,es,insult
rarito,es,insult
imbécil,es,insult
pelotas,es,insult
chucha,es,insult
cojones,es,insult
homogay,es,insult
que comemierderia,es,insult
chucha de tu madre,es,insult
way,es,insult
chupamela,es,insult
mamagüevazo,es,insult
tienes ganas,es,insult
idiota,es,insult
hıyar,tr,insult
siktir orospu çocuğu,tr,insult
taşak,tr,insult
aptal,tr,insult
abaza,tr,insult
kaşar,tr,insult
onbeş,tr,insult
denyo,tr,insult
götüne koyarım,tr,insult
götünü sikerim,tr,insult
31 çekelim,tr,insult
lavuk,tr,insult
amına koyarım,tr,insult
sıçtık,tr,insult
ezik,tr,insult
götten bacaklı,tr,insult
sikindirik,tr,insult
yavşak,tr,insult
hiçbir lanet yolu,tr,insult
şapka,tr,insult
amına koğumun piçi,tr,insult
sıçarım babanın şarap çanağına,tr,insult
ecdadını sikeyim,tr,insult
film,tr,insult
sikim sokum,tr,insult
sikimtronik,tr,insult
sikitr,tr,insult
orospu,tr,insult
yarrak,tr,insult
abazan,tr,insult
siktir,tr,insult
manda,tr,insult
götveren,tr,insult
pislik,tr,insult
şıllık,tr,insult
frikik,tr,insult
siçan,tr,insult
sıçarım gözlük camına dünyayı bombok görürsün,tr,insult
zibidi,tr,insult
eline vermek,tr,insult
feriştahını sikeyim,tr,insult
puşt,tr,insult
siktir git,tr,insult
götüne koyayım,tr,insult
hasiktir,tr,insult
sığır,tr,insult
hayvan,tr,insult
kaltak,tr,insult
yarrak kafa,tr,insult
salak,tr,insult
tek kürek yalova yapmak,tr,insult
amsalak,tr,insult
götünden kan alırım,tr,insult
ver,tr,insult
sikik,tr,insult
yelloz,tr,insult
sikmek,tr,insult
sıçışlardayız,tr,insult
orospu çocuğu,tr,insult
ejderha,tr,insult
amına koyayım,tr,insult
am budalası,tr,insult
ciğerini sikeyim,tr,insult
bok ye,tr,insult
amcık ağızlı,tr,insult
motor,tr,insult
kavat,tr,insult
amını sikerim,tr,insult
beş,tr,insult
kicimi op,tr,insult
böluk,tr,insult
amcık hoşafı,tr,insult
köylü,tr,insult
nataşa,tr,insult
ağzına sıçarım,tr,insult
embesil,tr,insult
ısır beni,tr,insult
kıç,tr,insult
kevaşe,tr,insult
sikimsonik,tr,insult
canın cehenneme,tr,insult
açık kapı,tr,insult
yarrağımın antifrizi,tr,insult
mal,tr,insult
yarrağımı,tr,insult
yosma,tr,insult
göte geldin,tr,insult
sikimtırak,tr,insult
dalga,tr,insult
yarrağımı ye,tr,insult
amcik,tr,insult
aşüfte,tr,insult
ananı avradını sikeyim,tr,insult
yarrağımın kurma kolu,tr,insult
bok,tr,insult
ciğersiz pezevenk,tr,insult
dümbük,tr,insult
pezevenk,tr,insult
eşekoğlueşek,tr,insult
seni sikerim,tr,insult
apaçi,tr,insult
siktirici,tr,insult
hödük,tr,insult
at hırsızı,tr,insult
amını sikeyim,tr,insult
götübozuk,tr,insult
götünü sikeyim,tr,insult
yarrak ağızlı,tr,insult
anasını avradını siktiğimin orospu çocuğu,tr,insult
amına koyim,tr,insult
ibne,tr,insult
yedi ceddini siktiğimin oğlu,tr,insult
gerzek,tr,insult
sülaleni sikeyim,tr,insult
göt siken,tr,insult
sik,tr,insult
zübük,tr,insult
top,tr,insult
ağzına sıçayım,tr,insult
hırt,tr,insult
piç,tr,insult
çekirge götü,tr,insult
yarak,tr,insult
amına koyduğumun çocuğu,tr,insult
yarak kürek,tr,insult
ananı sikerim,tr,insult
amcık,tr,insult
fallik,tr,insult
sürtük,tr,insult
fahişe,tr,insult
dalyarak,tr,insult
aşk meleği,tr,insult
yarrağı yedin,tr,insult
yordamını sikeyim,tr,insult
dalağını sikerim,tr,insult
göt lalesi,tr,insult
sik kafalı,tr,insult
budala,tr,insult
ananı bacını sikeyim,tr,insult
siki tuttun,tr,insult
göt,tr,insult
göt veren,tr,insult
deyyus,tr,insult
yarrağı,tr,insult
gerizekalı,tr,insult
dürzü,tr,insult
sikimde değil,tr,insult
allah kahretsin,tr,insult
amına kodumun piçi,tr,insult
sırık,tr,insult
öküz,tr,insult
milli olmak,tr,insult
sikko,tr,insult
dangalak,tr,insult
eşek,tr,insult
ebesini siktiğimin göt lalesi,tr,insult
sıçarım böyle işe,tr,insult
ağzını yüzünü siktiğimin pezevengi,tr,insult
gelmişini geçmişini sikeyim,tr,insult
amını götünden sikerim,tr,insult
connard,fr,insult
je m’en fou,fr,insult
je m’en fous,fr,insult
t’as intérêt ne pas m’énervé,fr,insult
je m’en fiche,fr,insult
emmerdeur,fr,insult
mange de la merde,fr,insult
je veux faire l’amour avec toi,fr,insult
papier q,fr,insult
ça me fait chier,fr,insult
ducon,fr,insult
t’es rien qu’un petit connard,fr,insult
putain de merde,fr,insult
s’en foutre,fr,insult
va te faire enculer,fr,insult
tu es con,fr,insult
je me fais chier,fr,insult
"meurs, pute",fr,insult
batard,fr,insult
pétasse,fr,insult
dégage,fr,insult
tu fais chier,fr,insult
enfoiré,fr,insult
ma couille,fr,insult
chiante,fr,insult
nom de dieu,fr,insult
ta race,fr,insult
mes couilles en toi,fr,insult
une casse-couille,fr,insult
rien à branler,fr,insult
ça fait shier,fr,insult
pq,fr,insult
chatte,fr,insult
baise moi mor,fr,insult
couille,fr,insult
c’est pas con,fr,insult
crève la gueule ouverte,fr,insult
j’ai baisé ta mère,fr,insult
sale,fr,insult
branleur,fr,insult
couillon,fr,insult
bachie coupe,fr,insult
baise,fr,insult
enfoirée,fr,insult
va te faire foutre,fr,insult
allez,fr,insult
je t’emmerde,fr,insult
enculée,fr,insult
"oh, merde",fr,insult
c’est vraiment de ta faute,fr,insult
ça craint,fr,insult
dégueu,fr,insult
s’en branler,fr,insult
cul,fr,insult
va t’en,fr,insult
couilles,fr,insult
casse-toi,fr,insult
niquer,fr,insult
pédé,fr,insult
idiote,fr,insult
putain,fr,insult
j’ai envie de chier,fr,insult
t’es un salaud,fr,insult
foutre le bordel,fr,insult
vous sentez comme le boeuf et le fromage,fr,insult
gross cul,fr,insult
chiant,fr,insult
quel salaud,fr,insult
je me suis fait baiser,fr,insult
imbécile,fr,insult
film de cul,fr,insult
s’en foutre de,fr,insult
crève la gueule ouverte!,fr,insult
fais chier,fr,insult
rien à foutre,fr,insult
sac vin,fr,insult
petit tabernac,fr,insult
tu me gonfles,fr,insult
pédale,fr,insult
avale mes couilles,fr,insult
un casse-couille,fr,insult
con,fr,insult
c’est con,fr,insult
du pq,fr,insult
face de cul,fr,insult
branleur de chiens morts,fr,insult
ta mere suce des bites en enfer,fr,insult
merdasse,fr,insult
se taire,fr,insult
salope,fr,insult
vas faire foutre a la vache,fr,insult
emmerdeuse,fr,insult
prendre pour une conne,fr,insult
sac merde,fr,insult
c’est quoi ce bordel,fr,insult
à  chier,fr,insult
enculer les mouches,fr,insult
rien à foutre de,fr,insult
trou du cul,fr,insult
salaud,fr,insult
bite,fr,insult
merde embulante,fr,insult
ta gueule,fr,insult
ça pue,fr,insult
j’en ai ral le bol,fr,insult
t’as pas de couilles,fr,insult
mange ma bite,fr,insult
sa race,fr,insult
ta mere la pute,fr,insult
tu commence m’enmerder,fr,insult
idiot,fr,insult
petite pute,fr,insult
tu et un ane,fr,insult
frambler,fr,insult
 je me fais chier,fr,insult
emmerder,fr,insult
vous vissez,fr,insult
bordel,fr,insult
oh putain de merde,fr,insult
se foutre dans la merde,fr,insult
connasse,fr,insult
note from benjamin,fr,insult
conneries,fr,insult
foutre,fr,insult
laisse-moi tranquille,fr,insult
baiser,fr,insult
je te nique ta race sale fils de chien,fr,insult
putain de,fr,insult
branler,fr,insult
aller se faire foutre,fr,insult
foutre la merde,fr,insult
j’en ai plus rien à foutre,fr,insult
je m’en bats les couilles,fr,insult
ce mécanicien m’a bien baisé,fr,insult
garce,fr,insult
casser les couilles,fr,insult
zut,fr,insult
dégénéré,fr,insult
bordel de merde,fr,insult
enculer une mouche,fr,insult
brûle en enfer,fr,insult
de merde,fr,insult
abruti,fr,insult
ça schlingue,fr,insult
couillonne,fr,insult
vous êtes stupide,fr,insult
dégueulasse,fr,insult
framble,fr,insult
tais-toi,fr,insult
trouduc,fr,insult
nique ta mère,fr,insult
ferme ta gueule,fr,insult
conne,fr,insult
enculé,fr,insult
partir en couille,fr,insult
crétin,fr,insult
chier,fr,insult
baise toi,fr,insult
pute,fr,insult
j’en ai ral le cul,fr,insult
merde,fr,insult
putain t’es moche,fr,insult
connerie,fr,insult
prendre pour un con,fr,insult
debile,fr,insult
ne rien foutre,fr,insult
t’es débile,fr,insult
rien à branler ,fr,insult
la vache,fr,insult
je pis dans ta bouche,fr,insult
qu’est-ce que tu branles,fr,insult
putain de bordel de merde,fr,insult
se casser,fr,insult
je m’en fous pas mal,fr,insult
fils de pute,fr,insult
faire chier,fr,insult
enculer,fr,insult
il est stupide,fr,insult
branler – to jerk off,fr,insult
j’en ai marre,fr,insult
filho da puta,pt,insult
pisso,pt,insult
puta que pariu,pt,insult
cabra,pt,insult
escroto,pt,insult
saco de merda,pt,insult
cracudo,pt,insult
foder,pt,insult
vai se foder,pt,insult
vagabundo,pt,insult
porra,pt,insult
pra caralho,pt,insult
broche,pt,insult
pixota,pt,insult
chupa meu pau,pt,insult
pau,pt,insult
galinha,pt,insult
cacete,pt,insult
bicha,pt,insult
arrombado,pt,insult
pica,pt,insult
rego do cu,pt,insult
piça,pt,insult
corno,pt,insult
negão,pt,insult
merda,pt,insult
xoxota,pt,insult
boquete,pt,insult
olho do cu,pt,insult
chupa-mos,pt,insult
peido,pt,insult
mijar,pt,insult
sapatão,pt,insult
mouro,pt,insult
siririca,pt,insult
foda,pt,insult
cu,pt,insult
foda-se,pt,insult
vai apanhar no cu,pt,insult
fodido,pt,insult
vai pro caralho,pt,insult
teu cu,pt,insult
minete,pt,insult
babaca,pt,insult
mamada,pt,insult
cona,pt,insult
paneleiro,pt,insult
cachorro,pt,insult
pachacha,pt,insult
trepar,pt,insult
piroca,pt,insult
enrabar,pt,insult
do caralho,pt,insult
negro,pt,insult
cachorra,pt,insult
bobo,pt,insult
puta merda,pt,insult
fode-te,pt,insult
piranha,pt,insult
caralho,pt,insult
escrota,pt,insult
punheta,pt,insult
vai tomar no cu,pt,insult
cabrão,pt,insult
viado,pt,insult
rata,pt,insult
que porra é essa,pt,insult
canalha,pt,insult
cagar,pt,insult
preto,pt,insult
encher o saco,pt,insult
pito,pt,insult
badalhoca,pt,insult
trouxa,pt,insult
sacanagem,pt,insult
puta,pt,insult
"vai para o caralho, vai-te foder",pt,insult
monte de merda,pt,insult
boiola,pt,insult
vai mamar na quinta pata do cavalo,pt,insult
brocha,pt,insult
moor,pt,insult
caceta,pt,insult
buceta,pt,insult
pila,pt,insult
porra nenhuma,pt,insult
badalhoco,pt,insult
vaca,pt,insult
nem fodendo,pt,insult
блядина,ru,insult
закрой рот,ru,insult
чушка,ru,insult
куни,ru,insult
жидоёбское,ru,insult
тварь,ru,insult
мымра,ru,insult
пасть забей,ru,insult
еврей,ru,insult
падла ебаная,ru,insult
выблядок,ru,insult
алкоголик,ru,insult
гандон штопаный,ru,insult
зануда,ru,insult
пендосия,ru,insult
сука,ru,insult
пидор,ru,insult
страхоёбище,ru,insult
срака,ru,insult
бомж,ru,insult
радужный мальчик,ru,insult
стоячек,ru,insult
взбляд,ru,insult
а хули,ru,insult
святоша,ru,insult
ёбаный стос,ru,insult
алень,ru,insult
пиздоблошка,ru,insult
хуедин,ru,insult
нихуя,ru,insult
голуби,ru,insult
пришью,ru,insult
гнойный,ru,insult
блядский,ru,insult
наебнуться,ru,insult
мухосоранск,ru,insult
елдак,ru,insult
наеб,ru,insult
хуеман,ru,insult
хуйня,ru,insult
доебались,ru,insult
выебон,ru,insult
хуле,ru,insult
змея,ru,insult
волосня,ru,insult
чучмен,ru,insult
на хуя,ru,insult
обламаться,ru,insult
мерхавеч,ru,insult
барыга,ru,insult
дерьмоед,ru,insult
ебанулось,ru,insult
дупло,ru,insult
присунуть,ru,insult
ахуел,ru,insult
блядское,ru,insult
настреляли по пиздюлятору,ru,insult
ебанько,ru,insult
манья,ru,insult
спиздить,ru,insult
ебанула,ru,insult
выблядовал,ru,insult
скотоёб,ru,insult
обосцать,ru,insult
однохуйственно,ru,insult
менты,ru,insult
наебнулась,ru,insult
ёбнул,ru,insult
стоячок,ru,insult
блядская,ru,insult
распиздошила,ru,insult
блядство,ru,insult
шоха,ru,insult
жидоёбский,ru,insult
дерьмохеропиздократия,ru,insult
прихуел,ru,insult
деревня,ru,insult
дурак,ru,insult
сволочь,ru,insult
писька,ru,insult
молокосос,ru,insult
злоебучий,ru,insult
опездол,ru,insult
радужный,ru,insult
дрянь,ru,insult
пошел нахуй,ru,insult
еблище,ru,insult
лось,ru,insult
сексист,ru,insult
ебальный станок,ru,insult
свинтус,ru,insult
рак мозга,ru,insult
жидоёбка,ru,insult
дать пизды,ru,insult
многопиздная,ru,insult
трахнуть,ru,insult
пиздовладелец,ru,insult
ебля,ru,insult
иди к черту,ru,insult
нахуй,ru,insult
распиздяй,ru,insult
малолетка,ru,insult
голубятня,ru,insult
змея подколодная,ru,insult
очко,ru,insult
передернуть,ru,insult
блядемудиный пиздопроёб,ru,insult
присунул,ru,insult
казел,ru,insult
импотент,ru,insult
навешать пиздюлей,ru,insult
мне до лампочки,ru,insult
хули,ru,insult
остоебать,ru,insult
сукин сын,ru,insult
пососи мои яйца,ru,insult
писюн,ru,insult
хуй на тебя,ru,insult
хохол,ru,insult
без пизды,ru,insult
мудозвод,ru,insult
как ёб твою мать,ru,insult
член,ru,insult
под юбкой,ru,insult
хуйло,ru,insult
жополиз,ru,insult
подонок,ru,insult
наёб,ru,insult
говно,ru,insult
путана,ru,insult
заебала,ru,insult
допизды,ru,insult
елда,ru,insult
дерево,ru,insult
проститутка,ru,insult
еб тебя,ru,insult
отъебись,ru,insult
гнида,ru,insult
хитровыебанный,ru,insult
козел,ru,insult
залупа,ru,insult
еб,ru,insult
облом,ru,insult
не пудри мозги,ru,insult
вьебал,ru,insult
"вдруг, откуда ни возьмись, появился в рот ебись",ru,insult
изъебнулся,ru,insult
ебни,ru,insult
жопа,ru,insult
руки из жопы,ru,insult
выебнуться,ru,insult
мудила,ru,insult
пиздобратия,ru,insult
гобиться,ru,insult
педик,ru,insult
дура,ru,insult
бадяжить,ru,insult
деревеньщина,ru,insult
наблядовал,ru,insult
голубой,ru,insult
распиздяйка,ru,insult
капрофил,ru,insult
доебалась,ru,insult
ёбкость,ru,insult
страть тебе в рот,ru,insult
опиздоумел,ru,insult
хитровыебанная,ru,insult
говнюк,ru,insult
засранец,ru,insult
дерьмо,ru,insult
осёд,ru,insult
заёб,ru,insult
целкa,ru,insult
еблан,ru,insult
ебанёшься,ru,insult
ебанулся,ru,insult
гей,ru,insult
дерьмохеропиздократ,ru,insult
шлюха,ru,insult
кнь педальный,ru,insult
пиздец,ru,insult
удавись,ru,insult
развалюха,ru,insult
шут,ru,insult
нахуярить,ru,insult
ебашит,ru,insult
прыщавый,ru,insult
крыша поехала,ru,insult
у меня стоит,ru,insult
выёбывается,ru,insult
яйца,ru,insult
слоняра,ru,insult
обламатся,ru,insult
хер,ru,insult
какого черта,ru,insult
феменистка,ru,insult
заебал,ru,insult
ебланка,ru,insult
крыса,ru,insult
 да пошел тыпошел ты,ru,insult
фалос,ru,insult
фапать,ru,insult
черт возми,ru,insult
гнусный,ru,insult
машонка,ru,insult
пидоростия,ru,insult
трахаться,ru,insult
пофапать,ru,insult
ебальник разинул,ru,insult
пиздрик,ru,insult
дуплоящер,ru,insult
вжопу,ru,insult
я тебя в рот ебал,ru,insult
сцать,ru,insult
подъёбки,ru,insult
ебаная сука,ru,insult
объебала,ru,insult
яйчелы,ru,insult
наебали,ru,insult
хуй тебе в жопу,ru,insult
ты дегенерат,ru,insult
объебал,ru,insult
заебёшь мёртвого,ru,insult
косяк,ru,insult
хуелес,ru,insult
баба,ru,insult
кощей,ru,insult
осел,ru,insult
