content,label,language
problems with cancelling purchase {{Order Number}},non-insult,eng
is it possible to cancel purchase {{Order Number}},non-insult,eng
I need assistance cancelling purchase {{Order Number}},non-insult,eng
i do not know how to cancel order {{Order Number}},non-insult,eng
I no longer want purchase {{Order Number}},non-insult,eng
can you help me cancelling purchase {{Order Number}}?,non-insult,eng
assistance cancelling purchase {{Order Number}},non-insult,eng
I need help cancelling purchase {{Order Number}},non-insult,eng
I don't want purchase {{Order Number}},non-insult,eng
"I bought some items, I need help to cancel purchase {{Order Number}}",non-insult,eng
could you help me cancel purchase {{Order Number}}?,non-insult,eng
cancel purchase {{Order Number}},non-insult,eng
problem with cancelling purchase {{Order Number}},non-insult,eng
cancel purchase {{Order Number}},non-insult,eng
where do i cancel purchase {{Order Number}},non-insult,eng
need help with cancelliing order {{Order Number}},non-insult,eng
I have problems with canceling purchase {{Order Number}},non-insult,eng
is it possible to cancel order {{Order Number}}?,non-insult,eng
i havegot to cancel purchase {{Order Number}},non-insult,eng
"I cannot pay for this product, cancel order {{Order Number}}",non-insult,eng
I don't know how I can cancel purchase {{Order Number}},non-insult,eng
help cancelling purchase {{Order Number}},non-insult,eng
would you give me information about cancelling orders?,non-insult,eng
I need assistance with canceling purchase {{Order Number}},non-insult,eng
canceling purchase {{Order Number}},non-insult,eng
"I can't afford my last item, cancel purchase {{Order Number}}",non-insult,eng
I cannot afford order {{Order Number}},non-insult,eng
have problems with canceling purchase {{Order Number}},non-insult,eng
I have a problem with canceling purchase {{Order Number}},non-insult,eng
question about canceling purchase {{Order Number}},non-insult,eng
I have got to cancel purchase {{Order Number}},non-insult,eng
"I can't afford order {{Order Number}}, could I cancel it?",non-insult,eng
i dont know how to cancel purchase {{Order Number}},non-insult,eng
"I don't want this item, help me cancel purchase {{Order Number}}",non-insult,eng
i need assistance with canceling order {{Order Number}},non-insult,eng
have a problem with cancelling purchase {{Order Number}},non-insult,eng
"I can't afford this product, cancel order {{Order Number}}",non-insult,eng
cancel purchase  {{Order Number}},non-insult,eng
could you help me canceling purchase {{Order Number}}?,non-insult,eng
i try to cancel order {{Order Number}},non-insult,eng
can you help me cancelling order {{Order Number}}?,non-insult,eng
what do I ned to do to cancel order {{Order Number}}?,non-insult,eng
i need help to cancel purchase {{Order Number}},non-insult,eng
"I have bought some items, help canceling purchase {{Order Number}}",non-insult,eng
I need assistance canceling order {{Order Number}},non-insult,eng
I can't afford purchase {{Order Number}},non-insult,eng
assistance with canceling purchase {{Order Number}},non-insult,eng
canmcel order {{Order Number}},non-insult,eng
help with canceling purchase {{Order Number}},non-insult,eng
I need help to cancel purchase {{Order Number}},non-insult,eng
i can no longer afford order {{Order Number}},non-insult,eng
I can no longer pay for order {{Order Number}},non-insult,eng
i have problems with canceling order {{Order Number}},non-insult,eng
I have problems with cancelling order {{Order Number}},non-insult,eng
"I purchased some item, help canceling one of the orders",non-insult,eng
I need helpto cancel order {{Order Number}},non-insult,eng
camceling order {{Order Number}},non-insult,eng
i purchased some fucking item cancel order {{Order Number}},non-insult,eng
want assistance to cancel pyrchase {{Order Number}},non-insult,eng
i need assistance to cancel order {{Order Number}},non-insult,eng
i need help with canceling order {{Order Number}},non-insult,eng
cancelling order {{Order Number}},non-insult,eng
"I have ordered some item, cancel purchase {{Order Number}}",non-insult,eng
i can no longer pay for purchase {{Order Number}},non-insult,eng
I need assistance canceling purchase {{Order Number}},non-insult,eng
"I do not want this item, cancel order {{Order Number}}",non-insult,eng
i need assistance cancelling purchase {{Order Number}},non-insult,eng
ened help with cancelling purchase {{Order Number}},non-insult,eng
I need assistance cancelling order {{Order Number}},non-insult,eng
can ya help me cancel purchase {{Order Number}},non-insult,eng
want assistance cancelling purchase {{Order Number}},non-insult,eng
need help with canceling order {{Order Number}},non-insult,eng
I can no longer pay for purchase {{Order Number}},non-insult,eng
want assistance canceling order {{Order Number}},non-insult,eng
is it possible to cancel purchase {{Order Number}}?,non-insult,eng
cance order {{Order Number}},non-insult,eng
assistance canceling purchase {{Order Number}},non-insult,eng
what do I need to do to cancel purchase {{Order Number}}?,non-insult,eng
I want help cancelling purchase {{Order Number}},non-insult,eng
i have a problem with cancelling order {{Order Number}},non-insult,eng
i cant pay for order {{Order Number}},non-insult,eng
can you help me cancelling order {{Order Number}}?,non-insult,eng
I need help to cancel purchase {{Order Number}},non-insult,eng
I have a problem with cancelling purchase {{Order Number}},non-insult,eng
canceling purechase {{Order Number}},non-insult,eng
I need help cancelling order {{Order Number}},non-insult,eng
I dp not know how to cancel order {{Order Number}},non-insult,eng
what do I need to do to cancel order {{Order Number}}?,non-insult,eng
i dont know what to do to cancel order {{Order Number}},non-insult,eng
cancel order {{Order Number}},non-insult,eng
is it possible to cancel purchase {{Order Number}},non-insult,eng
I am trying to cancel order {{Order Number}},non-insult,eng
I need help with cancellng order {{Order Number}},non-insult,eng
help canceling purchase {{Order Number}},non-insult,eng
I want help cancelling purchase {{Order Number}},non-insult,eng
I want help cancellkng purchase {{Order Number}},non-insult,eng
"I can't afford order {{Order Number}}, help me cancelling it",non-insult,eng
I need assistance to cancel order {{Order Number}},non-insult,eng
I have a problem with cancelling order {{Order Number}},non-insult,eng
assistance canceling the last order,non-insult,eng
assistance to cancel order {{Order Number}},non-insult,eng
"I don't want this product, cancel purchase {{Order Number}}",non-insult,eng
assistance cancelling purchase {{Order Number}},non-insult,eng
I cannot afford order {{Order Number}},non-insult,eng
problems with cancelling order {{Order Number}},non-insult,eng
need help canceling purchase {{Order Number}},non-insult,eng
i can no longer afford purchase {{Order Number}},non-insult,eng
I need help with canceling purchase {{Order Number}},non-insult,eng
how could I cancel purchase {{Order Number}}?,non-insult,eng
i want help canceling purchase {{Order Number}},non-insult,eng
asistance cancelling purchase {{Order Number}},non-insult,eng
I need assistance to cancel order {{Order Number}},non-insult,eng
i need help cancelling purchase {{Order Number}},non-insult,eng
I do not know what to do tro cancel order {{Order Number}},non-insult,eng
I need assistance canceling purchase {{Order Number}},non-insult,eng
cancelling purchase {{Order Number}},non-insult,eng
want help cancelling purchase {{Order Number}},non-insult,eng
help with canceling purchase {{Order Number}},non-insult,eng
I don't know how I colud cancel order {{Order Number}},non-insult,eng
where can i cancel purchase {{Order Number}},non-insult,eng
help me cancel purchase {{Order Number}},non-insult,eng
can you help me cancelong purchase {{Order Number}}?,non-insult,eng
i dont know what to do to cancel purchase {{Order Number}},non-insult,eng
i have problems with canceling order {{Order Number}},non-insult,eng
I want to cancel order {{Order Number}},non-insult,eng
"I can't afford order {{Order Number}}, could you cancel it?",non-insult,eng
i want assistance cancelling order {{Order Number}},non-insult,eng
i want help to cancel order {{Order Number}},non-insult,eng
what do I need to do to cancel purchase {{Order Number}}?,non-insult,eng
i want help cancelling order {{Order Number}},non-insult,eng
I do not know how to cancel purchase {{Order Number}},non-insult,eng
"I cannot afford my last item, how can I cancel the order?",non-insult,eng
"I don't want this item, cancel order {{Order Number}}",non-insult,eng
I no longer want order {{Order Number}},non-insult,eng
can you help me to cancel order {{Order Number}}?,non-insult,eng
cancelling order {{Order Number}},non-insult,eng
"I do not want this item, I try to cancel order {{Order Number}}",non-insult,eng
what do I have to do to cancel order {{Order Number}}?,non-insult,eng
I can no longer afford order {{Order Number}},non-insult,eng
I need help canceling order {{Order Number}},non-insult,eng
I have problems with canceling purchase {{Order Number}},non-insult,eng
i want help canceling order {{Order Number}},non-insult,eng
help with canceling purchase {{Order Number}},non-insult,eng
I don't know how to cancel purchase {{Order Number}},non-insult,eng
"I do not want my last bloody item, cancel order {{Order Number}}",non-insult,eng
can ya help me to cancel order {{Order Number}},non-insult,eng
i dont want order {{Order Number}},non-insult,eng
could you help me to cancel purchase {{Order Number}}?,non-insult,eng
have problems wth cancelling order {{Order Number}},non-insult,eng
I need help with cancelling purchase {{Order Number}},non-insult,eng
i dont want this artilce cancel order {{Order Number}},non-insult,eng
I cannot afford order {{Order Number}},non-insult,eng
need help with canceling purchase {{Order Number}},non-insult,eng
I try to cancel purchase {{Order Number}},non-insult,eng
"I bought some article, help canceling order {{Order Number}}",non-insult,eng
can you help me cancelling oredr {{Order Number}}?,non-insult,eng
help  with cancelling order {{Order Number}},non-insult,eng
assistance to cancel purchase {{Order Number}},non-insult,eng
help to cancel purchase {{Order Number}},non-insult,eng
can you help me cancelling order {{Order Number}}?,non-insult,eng
i dont want purchase {{Order Number}},non-insult,eng
canmcel order {{Order Number}},non-insult,eng
help cancelling my bloody purchase,non-insult,eng
assistance cancelling purchase {{Order Number}},non-insult,eng
can you help me to cancel order {{Order Number}} ?,non-insult,eng
I need assistance with canceling purchase {{Order Number}},non-insult,eng
is it possible to cancel purchase {{Order Number}},non-insult,eng
canceling order,non-insult,eng
problems with cancelling order {{Order Number}},non-insult,eng
what do I have to do to cancel purchase {{Order Number}}?,non-insult,eng
I need assistance canceling purchase {{Order Number}},non-insult,eng
I want help cancelling purchase {{Order Number}},non-insult,eng
i want help canceling order {{Order Number}},non-insult,eng
I want assistance to cancle purchase {{Order Number}},non-insult,eng
i do not know how to cancel purchasw {{Order Number}},non-insult,eng
question about cancelling purchase {{Order Number}},non-insult,eng
help me cancel purchase {{Order Number}},non-insult,eng
i dont want purchase {{Order Number}} could i cancel it,non-insult,eng
i obught some item help me canceling order {{Order Number}},non-insult,eng
I'm trying to cancel purchase {{Order Number}},non-insult,eng
problems with canceling purchase {{Order Number}},non-insult,eng
cancelling order {{Order Number}},non-insult,eng
canceling purchase {{Order Number}},non-insult,eng
i dont khow how to cancel order {{Order Number}},non-insult,eng
I need assistance cancelling order {{Order Number}},non-insult,eng
how can I cancel purchase {{Order Number}}?,non-insult,eng
I can no longer afford purchase {{Order Number}},non-insult,eng
I want help to cancle purchase {{Order Number}},non-insult,eng
I can't afford order {{Order Number}},non-insult,eng
canmcel order {{Order Number}},non-insult,eng
help me canceling purchase {{Order Number}},non-insult,eng
I try to cancel purchase {{Order Number}},non-insult,eng
I don't want purchase {{Order Number}},non-insult,eng
I need help with cancelling purchase {{Order Number}},non-insult,eng
I have got to cancel purcahse {{Order Number}},non-insult,eng
help me to cancel purchase {{Order Number}},non-insult,eng
I need help cancelling oredr {{Order Number}},non-insult,eng
help me canceling purchase {{Order Number}},non-insult,eng
i want help canceling order {{Order Number}},non-insult,eng
I need help to cancel order {{Order Number}},non-insult,eng
I want assistance to cancel purchase {{Order Number}},non-insult,eng
I don't know how I can cancel purchase {{Order Number}},non-insult,eng
cance order {{Order Number}},non-insult,eng
problems with cancelling purchase {{Order Number}},non-insult,eng
need assistance to cancel order {{Order Number}},non-insult,eng
I no longerr want purchase {{Order Number}},non-insult,eng
I need assistance canceling order {{Order Number}},non-insult,eng
i have to cancel purchase {{Order Number}},non-insult,eng
i dont want order {{Order Number}},non-insult,eng
I need help canceling purchase {{Order Number}},non-insult,eng
i do not know how i can cancel order {{Order Number}},non-insult,eng
canceling purchase {{Order Number}},non-insult,eng
I want assistance canceling purchase {{Order Number}},non-insult,eng
assistance with cancelling purchase {{Order Number}},non-insult,eng
problem witth cancelling order {{Order Number}},non-insult,eng
I want assistance to cancel purchase {{Order Number}},non-insult,eng
"I bought some items, help canceling order {{Order Number}}",non-insult,eng
I need assistance with cancelling order {{Order Number}},non-insult,eng
I need assistance cancelling purcjase {{Order Number}},non-insult,eng
i dont want order {{Order Number}},non-insult,eng
I can no longer afford purchase {{Order Number}},non-insult,eng
what do i need to do to cancel order {{Order Number}},non-insult,eng
I need assistance canceling purchase {{Order Number}},non-insult,eng
i need assistance with canceling order {{Order Number}},non-insult,eng
I can't pay for purchase {{Order Number}},non-insult,eng
I do not want purchase {{Order Number}},non-insult,eng
cancel purchase732201349959,non-insult,eng
I do not know how I can cancel purchase {{Order Number}},non-insult,eng
need help with canceling purchase {{Order Number}},non-insult,eng
I can no longer pay for purchase {{Order Number}},non-insult,eng
I need help to cancel purchase370795561790,non-insult,eng
I do not know how I can cancel purchase {{Order Number}},non-insult,eng
I need help canceling purchase {{Order Number}},non-insult,eng
what do I need to do to cancel purchase {{Order Number}}?,non-insult,eng
want assistance cancelling order {{Order Number}},non-insult,eng
want help cancelling purchase {{Order Number}},non-insult,eng
help to cancel purchase {{Order Number}},non-insult,eng
"I can't pay for purchase {{Order Number}}, how can I cancel it?",non-insult,eng
want assistance canceling purchase {{Order Number}},non-insult,eng
I don't know how to cancel purchase {{Order Number}},non-insult,eng
i dont want ordr {{Order Number}} could uhelp me cancel it,non-insult,eng
"I cannot afford order {{Order Number}}, I need help canceling it",non-insult,eng
want assistance canceling purchase {{Order Number}},non-insult,eng
i do not know how to cancel order {{Order Number}},non-insult,eng
I want help canceling order {{Order Number}},non-insult,eng
where can I cancel purchase {{Order Number}}?,non-insult,eng
I need help cancelling purchase {{Order Number}},non-insult,eng
I need assistance to cancel purchase {{Order Number}},non-insult,eng
can you help me cancel purchase {{Order Number}}?,non-insult,eng
I'm trying to cancel order {{Order Number}},non-insult,eng
i dont know what to do to cancel purchase {{Order Number}},non-insult,eng
I need help cancelling purchase {{Order Number}},non-insult,eng
i can no longer pay fororder {{Order Number}} cancel it,non-insult,eng
I don't knowhow to cancel purchase {{Order Number}},non-insult,eng
I do not know how I could cancel purchase {{Order Number}},non-insult,eng
i do not know how i can cancel order {{Order Number}},non-insult,eng
I don't know what to do to cancel purchase {{Order Number}},non-insult,eng
cance order {{Order Number}},non-insult,eng
where can I cancel purchase {{Order Number}}?,non-insult,eng
assistance with cancelling purchase {{Order Number}},non-insult,eng
i want assistance to cancel order {{Order Number}},non-insult,eng
I want assistance cancelling order {{Order Number}},non-insult,eng
i dont khow how to cancel order {{Order Number}},non-insult,eng
i need assistance to cancel order {{Order Number}},non-insult,eng
problems with canceling purchase {{Order Number}},non-insult,eng
canceling order {{Order Number}},non-insult,eng
"I can't pay for this item, cancel order {{Order Number}}",non-insult,eng
camceling order {{Order Number}},non-insult,eng
question about canceling order {{Order Number}},non-insult,eng
help me cancel purchase {{Order Number}},non-insult,eng
want assistance cancelling order {{Order Number}},non-insult,eng
want asistance canceling order {{Order Number}},non-insult,eng
i need assiostance cancelling order {{Order Number}},non-insult,eng
cancelling purchase {{Order Number}},non-insult,eng
I am trying to cancel purchaes {{Order Number}},non-insult,eng
i need help canceling order {{Order Number}},non-insult,eng
what do I need to do to cancel purchase {{Order Number}}?,non-insult,eng
help with cancelling purchase {{Order Number}},non-insult,eng
"I bought some item, cancel order {{Order Number}}",non-insult,eng
I need help with canceling purchase {{Order Number}},non-insult,eng
could you help me cancel purchase {{Order Number}}?,non-insult,eng
what do i need to do to cancel order {{Order Number}},non-insult,eng
canceling purchase {{Order Number}},non-insult,eng
I do not know how I can cancel purchase {{Order Number}},non-insult,eng
I have problems with cancelling purchase {{Order Number}},non-insult,eng
ohw to cancel order {{Order Number}},non-insult,eng
is it possible to cxancel order {{Order Number}},non-insult,eng
i have problems with cancelling purchase {{Order Number}},non-insult,eng
where do I cancel purchase {{Order Number}}?,non-insult,eng
I have an question about cancelling order {{Order Number}},non-insult,eng
I would like to cancel purchase {{Order Number}},non-insult,eng
assistance canceling purchase {{Order Number}},non-insult,eng
I want help to cancel purchase {{Order Number}},non-insult,eng
I am trying to cancel purchase {{Order Number}},non-insult,eng
cancelling purchase {{Order Number}},non-insult,eng
can you help me cancelling purchase {{Order Number}}?,non-insult,eng
i need assistance cancelling purchase {{Order Number}},non-insult,eng
camceling order {{Order Number}},non-insult,eng
need assistance canceling order {{Order Number}},non-insult,eng
help me cancel purchase {{Order Number}},non-insult,eng
problems with cancelling purchase {{Order Number}},non-insult,eng
i need assistance with canceling purchase {{Order Number}},non-insult,eng
help me to cancel order  {{Order Number}},non-insult,eng
I can no longer afford order {{Order Number}},non-insult,eng
i do not know what to do to cancel order {{Order Number}},non-insult,eng
i no longer want order {{Order Number}},non-insult,eng
I want assistance canceling order {{Order Number}},non-insult,eng
problem with canceling purchase {{Order Number}},non-insult,eng
"I no longer want order {{Order Number}}, how do I cancel it?",non-insult,eng
I cannot afford purchase {{Order Number}},non-insult,eng
I don't want purchase {{Order Number}},non-insult,eng
"I purchased some items, I want to cancel order {{Order Number}}",non-insult,eng
question about cancelling purchase {{Order Number}},non-insult,eng
I have a question about canceling purchase {{Order Number}},non-insult,eng
need help to cancel purchase {{Order Number}},non-insult,eng
i do not know how i could casncel order {{Order Number}},non-insult,eng
need help with canceling purchase {{Order Number}},non-insult,eng
I can't afford order {{Order Number}},non-insult,eng
what do I ned to do to cancel order {{Order Number}}?,non-insult,eng
i dont want order {{Order Number}} could i cancel it,non-insult,eng
have a question about canceling order {{Order Number}},non-insult,eng
I cannot afford order {{Order Number}},non-insult,eng
I need help canceling purchase {{Order Number}},non-insult,eng
question about canceling purchase {{Order Number}},non-insult,eng
"I doln't want order {{Order Number}}, can you cancel it?",non-insult,eng
i bought something i wanna cancel order {{Order Number}},non-insult,eng
help me canceling purchase {{Order Number}},non-insult,eng
I want help to cancle purchase {{Order Number}},non-insult,eng
what do i need to do to cancel order {{Order Number}},non-insult,eng
I try to cancel purchase {{Order Number}},non-insult,eng
"I can no longer afford order {{Order Number}}, can I cancel it?",non-insult,eng
i want help to cancel purchase {{Order Number}},non-insult,eng
I need help cancelling purchase {{Order Number}},non-insult,eng
how to cancel purchase {{Order Number}}?,non-insult,eng
i bought somegoddamn item how do i cancel order {{Order Number}},non-insult,eng
"I bought some product, I want to cancel order {{Order Number}}",non-insult,eng
need assistance with canceling order {{Order Number}},non-insult,eng
i do not knwo how to cancel order {{Order Number}},non-insult,eng
"I have to cancel purchase {{Order Number}}, can I get some help?",non-insult,eng
is it possible to cancel purchase {{Order Number}}?,non-insult,eng
help cancelling order {{Order Number}},non-insult,eng
cancel order {{Order Number}},non-insult,eng
icannot afford order {{Order Number}} could i cancel it,non-insult,eng
need help cancelling purchase {{Order Number}},non-insult,eng
what do I need to do to cancel purchase {{Order Number}}?,non-insult,eng
i cannot pay for puchase {{Order Number}} how could i cancel it,non-insult,eng
I want help cancellkng purchase {{Order Number}},non-insult,eng
i need help with cancelling order {{Order Number}},non-insult,eng
I need help with cancelling order {{Order Number}},non-insult,eng
how can I cancel order {{Order Number}}?,non-insult,eng
I need assistance cancelling purchase {{Order Number}},non-insult,eng
i want assistance tocancel order {{Order Number}},non-insult,eng
"I purchased some articles, cancel order {{Order Number}}",non-insult,eng
i nee help to cancel order {{Order Number}},non-insult,eng
problem with cancelling order {{Order Number}},non-insult,eng
I don't know what to do to cancel order {{Order Number}},non-insult,eng
"I don't want this article, cancel order {{Order Number}}",non-insult,eng
I need help with canceling order {{Order Number}},non-insult,eng
want assistance cancelling order {{Order Number}},non-insult,eng
I need assistance cancelling purchase {{Order Number}},non-insult,eng
can uhelp me cancelliung order {{Order Number}},non-insult,eng
canceling order {{Order Number}},non-insult,eng
cancel order {{Order Number}},non-insult,eng
I can no longer pay for purchase {{Order Number}},non-insult,eng
canceling order {{Order Number}},non-insult,eng
can you help me to cancel purchase {{Order Number}}?,non-insult,eng
I need assistance cancelling purchase {{Order Number}},non-insult,eng
problems with cnceling purchase {{Order Number}},non-insult,eng
where could I cancel purchase {{Order Number}}?,non-insult,eng
canmcel order {{Order Number}},non-insult,eng
I want assistance cancelling purchase {{Order Number}},non-insult,eng
I do not know how to cancel purchase {{Order Number}},non-insult,eng
I would like to cancel purchase {{Order Number}},non-insult,eng
I do not know how to cancel order {{Order Number}},non-insult,eng
problems with cancelling order {{Order Number}},non-insult,eng
I need help with cancelling purchase {{Order Number}},non-insult,eng
i dont know how to cancel purchase {{Order Number}},non-insult,eng
help to cancel purchase {{Order Number}},non-insult,eng
i purchased something how to cancel order {{Order Number}},non-insult,eng
want asistance canceling order {{Order Number}},non-insult,eng
question about cancelling purchase {{Order Number}},non-insult,eng
is it possible to cancel order {{Order Number}},non-insult,eng
i cant afford order {{Order Number}},non-insult,eng
"I can no longer afford purchase {{Order Number}}, cancel it",non-insult,eng
I don't want purchase {{Order Number}},non-insult,eng
I have problems with canceling purchase {{Order Number}},non-insult,eng
i dont want order {{Order Number}},non-insult,eng
i want assistance canceling purchase {{Order Number}},non-insult,eng
i dont know how to cancel purchase {{Order Number}},non-insult,eng
is it possible to cancel order {{Order Number}}?,non-insult,eng
i do not know how to cancel order {{Order Number}},non-insult,eng
